variable A,Variable B,Variable C,Variable D
0.9941274189483568,0.2025238834249654,0.6070002670763784,0.39137833913597453
0.0360756585324149,0.40166826621493334,0.9466061853033748,0.05889894390500916
0.18135023853257615,0.4285022931020427,0.13826164881709135,0.38812108588128746
0.7565908697999689,0.30872599135718437,0.7343754393071561,0.10716261363287871
0.12098705308287439,0.896301416236842,0.4446211446345526,0.3516873862855655
0.5442182314350783,0.5901170774319174,0.16296753167729727,0.905590255431473
0.893871431798358,0.04704644078128173,0.7668281364545894,0.5939387487116004
0.03570576548588211,0.6456763834693874,0.7524176963289105,0.5348194875886604
0.39288019685672204,0.1416588753294138,0.1951772003520248,0.7429541776626032
0.15425908957071333,0.8979336469209687,0.828878758536197,0.8342168217837631
0.5265882261062296,0.9949280204188962,0.9150933289744756,0.26306516561216053
0.3464052489080649,0.8111419702631258,0.630324945858642,0.4733601622287483
0.7878385681963004,0.5313446449212137,0.4984937733495961,0.3312971869175785
0.7779046369591314,0.5014366707304859,0.02403472137224849,0.8587936122597156
0.3372923069637592,0.4477702129024961,0.08114452920528192,0.9773655999367672
0.3098787229312888,0.41685993000061106,0.7399522201793923,0.20866996270470584
0.12950460521168838,0.7334471607713391,0.9455869068942292,0.8548351807711668
0.7862979857498789,0.9877009965834439,0.1254791190267741,0.5582865891343866
0.9273984243398692,0.34450946258589876,0.42203935630476985,0.778248856293246
0.7431917852695366,0.6965671190527846,0.5166541538389986,0.382150601583253
0.042373152826361005,0.8167017361663993,0.6804046276089676,0.7516612575968624
0.3875335783028203,0.7569656289649994,0.4837807817508565,0.2778827608320156
0.5704847492678277,0.6041699560148611,0.4226781538999357,0.6184735990685852
0.9353294371474365,0.9257804476766891,0.1821331088246959,0.08699448300670676
0.49358665159369075,0.34813514964508674,0.3355209437135428,0.8812931208689054
0.050070577313293785,0.42526080441481573,0.35883612011800625,0.9266289257374339
0.9740480573644206,0.3536683616352361,0.28533197355489925,0.08694141696375268
0.7230857295989698,0.010523487258503827,0.5263648015498448,0.11752656041466658
0.5006033591680554,0.7128896522447742,0.35219625732438065,0.2717544344972561
0.6947614391428945,0.4405279925306179,0.02884953868623119,0.49038632502685553
0.5090815566629509,0.5990075844355716,0.24043799259032195,0.9875386404865747
0.3330992864146093,0.5096138729323167,0.31716412703607755,0.00165830546041279
0.8802614745905676,0.868204468558833,0.05342559157800564,0.030861523761022802
0.7256582074148918,0.7393088945886832,0.1805398231808817,0.17722931624711113
0.9310933400233883,0.613790707801491,0.6934866886133134,0.48777541817470094
0.8730213632024426,0.3201537575424843,0.8837725338993832,0.7770721036709479
0.7008393648094933,0.3023856907669231,0.44019311737717404,0.5200921046339841
0.22068383867953,0.14099504647423577,0.291644353228136,0.333343236725683
0.19506784192922233,0.35092029063219865,0.84566738248437,0.18679305994807605
0.9088404707163346,0.596686782839136,0.21324369864824388,0.68693246743526
0.47051375524655925,0.39887974147107397,0.04564710106225889,0.10972004180881167
0.6447559506844048,0.9756591043799185,0.5006399460900819,0.6419655308455549
0.07438114345610403,0.41413739450516873,0.22758608234166555,0.6020459431258424
0.7086766060086832,0.8037902946498485,0.92358337798847,0.02254071526727386
0.3764409510126162,0.28308854023822294,0.17371366854419912,0.5194170802762126
0.07369198960488743,0.5660757690942156,0.8529309041609573,0.03849761854960487
0.12156429790252099,0.40439582318128364,0.8439944095534887,0.42511603088507566
0.40682263756217196,0.5799279807078611,0.41100197720202314,0.6962286062791803
0.10706720784181778,0.36419337120694195,0.2770278542397816,0.3680015285848728
0.3255983168219351,0.6714000137396668,0.2918362350671383,0.2545476555668641
0.1428848967588512,0.7769901777476478,0.8008078054312711,0.0626932343214941
0.9869026557367813,0.08009891110998368,0.4196632062870759,0.6640319028238804
0.8423780859056662,0.15459762784222286,0.47235156896572317,0.32048022157885214
0.9067462552474839,0.24107274776359755,0.6326019503711146,0.667173152833579
0.9168177021089353,0.1995080853055985,0.33348435265372367,0.25075547179304547
0.8479715852213642,0.30147128328091677,0.3169514773157055,0.6657442815382458
0.1923871654588306,0.04790388988625405,0.04776476347389924,0.5267082548808171
0.7693658588565573,0.5043486274829336,0.3740086445941845,0.3130245973347031
0.7277455673373956,0.24340359295782898,0.6419753148395676,0.8419726994016049
0.12490176102509976,0.7746232639408615,0.02160728748173124,0.23325872405985992
0.6092203227821158,0.10274077056000763,0.21823410916034203,0.9383376019513873
0.5175075807486157,0.217200107337002,0.1509989604830736,0.6049985414583886
0.1293528141566639,0.5510990155543752,0.5856480450202449,0.08942579688662422
0.624404427230968,0.6839973119890584,0.11195070719185063,0.5501659721403787
0.20736899373406326,0.6813642477888151,0.03504812950568359,0.5944429928609916
0.6447986566146567,0.0898564114109871,0.8578689544084451,0.01787015995813568
0.4168830059493217,0.32451487794084755,0.835605903651424,0.3540632989028576
0.061097945443442714,0.6683921003314751,0.5094401049518247,0.7497164055887062
0.2340401006002042,0.8460085119093315,0.08184495314403772,0.8454783121227556
0.5902914625168451,0.9532075758361107,0.12193308440509365,0.07320337710228442
0.7550427093150771,0.5536200702594027,0.9327691181753679,0.6662590095991133
0.5906484719688135,0.21082159212611484,0.011397817808523447,0.01678993094818626
0.10793201015575138,0.780089327681476,0.9177335545410972,0.14959771803104072
0.38074246751008267,0.16236449092755856,0.5301767754310753,0.14033397681811177
0.4405440145952374,0.7873819531249101,0.42035889881078614,0.6426853282875177
0.5644688180207278,0.11557733698125883,0.967988344520368,0.6034349062969894
0.1305015334227717,0.36284524911864513,0.13118271410409132,0.6040164593683524
0.9256580967106142,0.26076633392060333,0.7250559220427891,0.63189006398132
0.4531377690169083,0.4225283796948718,0.9797621115274023,0.2999722077796232
0.45623810042610946,0.16872771510461104,0.2548925745006039,0.6699677116158578
0.25150216000733006,0.7589892763689864,0.6736509963358636,0.12832828593900203
0.9559970111667624,0.9368128562673508,0.3335463156330847,0.37357571603004636
0.36796764347949595,0.3678930940441063,0.8446525272059799,0.8892727982704354
0.20072351011771628,0.32244056608589333,0.9188224582867517,0.3638284071375053
0.40465641855385925,0.5885239884964284,0.17520883278877564,0.950811442646462
0.15726100630629314,0.9196253921817918,0.1719614532975462,0.25129295770079907
0.20672568058217378,0.22029702042261634,0.5844367419762513,0.09032360032737918
0.706634172243131,0.2004478571787477,0.247060948878707,0.23454880476049267
0.042949466829185434,0.7002482415818534,0.23442743861873327,0.5084813804485134
0.0683102707563098,0.9925845635598508,0.14432811203354223,0.421150173459771
0.7821500600690288,0.22362778499038904,0.749820364450761,0.7886030772925158
0.7595230984809318,0.2639228363898437,0.7261946709723253,0.6213313085151803
0.9526844698877014,0.6443968776935929,0.2954539015346068,0.06611812425728747
0.3428738987829465,0.6519653022285217,0.6007785789451161,0.7007103307817373
0.7693905926584529,0.9617229346050387,0.49493469961545966,0.2956544202063175
0.43623554853694235,0.26906968165813105,0.8018900520909329,0.7070513715635217
0.017380631550491632,0.8809666208424248,0.6215118649453159,0.12662941220068236
0.6558001288690964,0.8152009397624527,0.4293006308450197,0.26953657372364626
0.10917982714597785,0.18103813826420578,0.5171217759681188,0.7597625658623606
0.7223822938670829,0.0050277865521826115,0.12935920801230982,0.7223655854362597
